  * Configuratie <#!/konfiguration>
      o Touch configuraties <#!/konfiguration/touchkonfiguration>
      o Schacht configuraties <#!/konfiguration/schachtkonfiguration>
      o Design configuraties <#!/konfiguration/designkonfiguration>
      o SMX configuraties <#!/konfiguration/smxkonfiguration>
  * Automaten <#!/service/handelsgruppen?quickFinderAddress=1>
      o Zoeken <#!/service/service>
  * Productencatalogus <#!/konfiguration/produktkatalog>
      o Prijs configuratie <#!/konfiguration/preisliste>
      o Producten vervangen <#!/konfiguration/suchenersetzen>
      o Product usage <#!/konfiguration/produktverwendung>
  * Bestanden <#!/konfiguration/alleBilder>
      o Merk <#!/konfiguration/marke>
      o Productlijn gedownload van updateserver
        <#!/konfiguration/produktlinie>
  * Productgroepen <#!/konfiguration/warengruppen>
  * Statistiek <#!/statistik>
      o Tijd <#!/statistik/statistik2>
      o Product <#!/statistik/statistik3>
      o Level <#!/statistik/statistik4>
      o Uitverkocht <#!/statistik/statistik5>
      o Fout <#!/statistik/statistik6>
      o Deur openingstijden <#!/statistik/statistik7>
  * Service <#!/service/index>
      o Handleidingen <#!/service/dokumentation>

Belgique (Français)

		Weergeven afbeelding	
	OK

327 Produkt(e)

Afbeelding	Naam	Fabrikant	Hoogte	Breedte	Diepte	Inhoud	EAN	Prijs  	Mutatiedatum	ID
	CIPRICO GREEN/10	British American Tobacco	24	56	90	10	5414842365619	6,90 €	25/02/2021 12:34:28	12d5b1f6-1b20-25bc-bddf-2233ce05fb09
	CLUB TUBES 250 ST.	ITB	1	1	1	250	5410133835014	6,40 €	28/01/2020 20:43:09	75a385b0-62bf-d21b-96d3-ee96431c8dfc
	DAVIDOFF CLASSIC/20	ITB	24	56	90	20	4030600123249	8,00 €	25/02/2021 12:25:31	fa56fa7b-a5e9-432f-9bcb-7a6278568415
	DAVIDOFF GOLD/20	ITB	24	56	90	20	4030600123270	8,00 €	15/02/2021 09:11:25	60736720-f091-4486-974d-1a4efaf8db66
	DAVIDOFF LEAF/20	ITB	24	56	90	20	4030600123300	7,30 €	30/10/2020 14:32:33	389e4ee4-a78f-6397-2718-b89184ad6b85
	DON PABLO MINI CIGARILLOS/10	don pablo	11	82	78	10	8720400427871	4,85 €	27/10/2020 10:08:07	54d55e29-df13-062e-a0c4-a707ea842544
	DRUM BLUE/50G	ITB	23	72	125	50	8710900061156	11,90 €	01/03/2021 09:33:17	df9355aa-7793-0073-d0ac-0f7ed2cd3aef
	DRUM THE ORIGINAL/50G	ITB	22	72	125	50	8710900061002	11,90 €	28/04/2021 15:51:03	de07c02c-cc97-488a-a2f4-1f6f07a5679e
	DUNHILL INTERNATIONAL/20	BAT	23	72	90	20	87217124	8,70 €	01/03/2021 09:33:39	f00d8ebc-a443-4a38-b091-ee8eaa57f6a5
	ELIXYR GOLD/20	LANDEWIJCK TOBACCO BELGIUM	23	56	90	20	54501737	5,80 €	30/10/2020 14:33:58	5a0b9ce8-a1d4-300a-bd11-62f78e263d6e
	ELIXYR ICE/20	LANDEWIJCK TOBACCO BELGIUM	23	65	90	20	5400827012708	5,00 €	15/04/2021 16:02:02	c888b84f-2e9e-1bff-00b9-5b49d27af4b6
	ELIXYR ORIGINAL RED/30G	TORREKENS	24	72	125	30	5400827009135	5,70 €	25/02/2021 12:45:27	ce7d68aa-0f6a-43a9-85b3-70193143c9bb
	ELIXYR RED 100S/20	TORREKENS	23	56	104	20	54503915	6,00 €	30/10/2020 14:34:51	47189715-424e-4e8b-843b-aac4050dbc69
	ELIXYR RED L/30	LANDEWIJCK TOBACCO BELGIUM	30	72	90	30	5400827005038	9,70 €	01/03/2021 09:34:06	195de48d-b07f-ea12-afcd-ea63d5ceead7
	ELIXYR RED/20	LANDEWIJCK TOBACCO BELGIUM	23	56	90	20	54501720	6,50 €	25/02/2021 12:45:43	decbf323-cfae-44d3-bdb1-39641ce230c8
	ELIXYR RED/23	LANDEWIJCK TOBACCO BELGIUM	24	67	90	23	54009660	6,70 €	30/10/2020 14:35:47	3ef6f102-c686-4277-a735-b7732847c8b1
	ELIXYR RED/26	ITB	29	67	90	26	54510470	8,40 €	25/02/2021 12:22:06	97e22e57-bb26-41e6-bb6d-8fe3c6fec698
	ELIXYR RED/38	ITB	37	70	90	40	5400827001535	11,90 €	25/02/2021 12:45:59	c8ed3d7e-4628-0417-3ade-25fb63225e06
	ELIXYR STREAM/20	LANDEWIJCK TOBACCO BELGIUM	23	56	90	20	5400827013514	6,50 €	01/03/2021 09:34:29	f849a246-95db-4411-96e6-89cd853470ba
	EXOTIC CLASSIC	CORTES SIGARS	20	85	100	20	5411741144437	7,00 €	27/10/2020 10:19:16	cb740064-06a8-70a0-9f8b-51715b5f5a6a
	FLANDRIA WERVIK/50G	STUBBE	22	72	125	50	5411786000101	10,70 €	18/02/2021 20:58:28	59475c7b-00ee-8c7a-92d4-72350f59f6fb
	FLEUR DE ROISIN ROUGE XL/50G.	BAT	23	72	125	50	54039322	10,90 €	30/10/2020 14:39:25	6215d967-7eef-40c8-a770-07fe830a2731
	FLEUR DU PAYS1/40G	JTI	23	72	125	40	5410446002073	9,00 €	25/02/2021 12:46:23	c68445e9-8400-9478-4c00-66d42ba8f194
	FLEUR DU PAYS6/40G	JTI	23	72	125	40	5410446002158	9,00 €	01/03/2021 09:35:13	01d19fa4-0233-e3be-fde2-48cc7a3c9a11
	FLEUR DU PAYS7/40G	JTI	23	72	125	40	5410446002189	9,00 €	16/02/2021 14:08:37	a70ba7b1-140e-4521-94ad-9c4ca48ecdf7
	FORTUNA ORIGINAL/20	IB	20	56	90	20	4030600289402	6,20 €	27/05/2021 08:47:06	8f0b97f6-c6bf-6cea-3a0f-69ede6439b66
